d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
3.70542058392164E-06,5.34267823071311E-06,2.00165349930612E-05,2.49855002929514E-05,2.88153628957849E-05,0.0000714284657930002,4.43115408208517E-05,2022-06-10,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-20,,,,,,,
4.72215168323409E-06,1.72081826557144E-05,2.05122398446725E-05,2.33195713941209E-05,6.24187054951712E-05,3.74543548256057E-05,2.47025213093724E-05,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-20,2022-06-21,,,,,,,
1.59378979782685E-05,1.73196279087409E-05,1.84847314630426E-05,5.31789500115569E-05,3.02298827250524E-05,1.90490375482357E-05,1.58820275011355E-05,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-20,2022-06-21,2022-06-22,,,,,,,
1.50200312687423E-05,1.31445542530532E-05,3.99488003219876E-05,1.92008737729399E-05,1.03871653047706E-05,8.25654660729956E-06,3.48958073326248E-05,2022-06-15,2022-06-16,2022-06-17,2022-06-20,2022-06-21,2022-06-22,2022-06-23,,,,,,,
1.12132475047492E-05,3.21248657064735E-05,1.18336520638085E-05,4.58215341425662E-06,3.12011119163477E-06,2.33204349007202E-05,2.81326665982909E-05,2022-06-16,2022-06-17,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,,,,,,,
2.94772733591134E-05,8.27882661624813E-06,1.76375927751778E-06,6.9287938075933E-07,1.50052507861267E-05,1.91300287610832E-05,1.68366059973835E-05,2022-06-17,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-27,,,,,,,
6.20840875797946E-06,1.74717707190931E-07,2.32762726648463E-07,5.57734506778664E-06,7.99051713684678E-06,6.74435328940071E-06,6.99563518313824E-06,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-27,2022-06-28,,,,,,,
5.83741490700752E-08,8.08392074169617E-07,3.09510375018372E-06,4.55317277303647E-06,3.56412002933126E-06,3.82011249855396E-06,7.68466382883304E-06,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-27,2022-06-28,2022-06-29,,,,,,,
8.39418584641547E-07,2.95464659760834E-06,4.30736331957793E-06,3.31505111561547E-06,3.5561350983928E-06,7.31827643485339E-06,2.63109778964053E-06,2022-06-22,2022-06-23,2022-06-24,2022-06-27,2022-06-28,2022-06-29,2022-06-30,,,,,,,
3.18184719660951E-06,4.9672016475545E-06,4.17102380390055E-06,4.58196203201335E-06,8.79628175298741E-06,3.51852461855106E-06,1.18561146402742E-05,2022-06-23,2022-06-24,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,,,,,,,
